id,url,species,breed_primary,breed_mixed,color_primary,age,sex,size,coat,fixed,house_trained,shots_current,name,contact_city,contact_state,contact_zip
46026308,https://www.petfinder.com/dog/lasagna-46026308/nj/lyndhurst/2-hands-saving-4-paws-ga960/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Jack Russell Terrier,FALSE,Red / Chestnut / Orange,Baby,Male,Small,Short,TRUE,FALSE,TRUE,Lasagna,Lyndhurst,NJ,7071
46026279,https://www.petfinder.com/dog/alfredo-46026279/nj/lyndhurst/2-hands-saving-4-paws-ga960/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Jack Russell Terrier,FALSE,Bicolor,Baby,Male,Small,Wire,TRUE,FALSE,TRUE,Alfredo,Lyndhurst,NJ,7071
46026265,https://www.petfinder.com/dog/newton-46026265/nj/lyndhurst/2-hands-saving-4-paws-ga960/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Jack Russell Terrier,FALSE,"Tricolor (Brown, Black, & White)",Baby,Male,Small,Wire,TRUE,FALSE,TRUE,Newton,Lyndhurst,NJ,7071
46026209,https://www.petfinder.com/dog/pesto-46026209/nj/lyndhurst/2-hands-saving-4-paws-ga960/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Jack Russell Terrier,FALSE,"Tricolor (Brown, Black, & White)",Baby,Male,Small,Short,TRUE,FALSE,TRUE,Pesto,Lyndhurst,NJ,7071
46026194,https://www.petfinder.com/dog/dunn-46026194/nj/lyndhurst/2-hands-saving-4-paws-ga960/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Jack Russell Terrier,FALSE,"Tricolor (Brown, Black, & White)",Baby,Male,Small,Short,TRUE,FALSE,TRUE,Dunn,Lyndhurst,NJ,7071
46026148,https://www.petfinder.com/dog/bragg-46026148/nj/lyndhurst/2-hands-saving-4-paws-ga960/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Jack Russell Terrier,FALSE,Apricot / Beige,Baby,Male,Small,Short,TRUE,FALSE,TRUE,Bragg,Lyndhurst,NJ,7071
46026144,https://www.petfinder.com/dog/strat-46026144/nj/butler/tri-boro-animal-welfare-nj08/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Hound,TRUE,White / Cream,Baby,Male,Large,Short,FALSE,FALSE,TRUE,Strat,Butler,NJ,7405
46026127,https://www.petfinder.com/dog/falco-46026127/nj/butler/tri-boro-animal-welfare-nj08/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Spaniel,TRUE,"Tricolor (Brown, Black, & White)",Baby,Male,Large,Medium,FALSE,FALSE,TRUE,Falco,Butler,NJ,7405
46015706,https://www.petfinder.com/dog/jimmy-46015706/nj/closter/claws-nj279/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Poodle,FALSE,Brown / Chocolate,Adult,Male,Small,Curly,TRUE,TRUE,TRUE,Jimmy,Closter,NJ,7624
46015702,https://www.petfinder.com/dog/clove-46015702/nj/wayne/hounds-in-pounds-inc-ga864/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Mixed Breed,FALSE,"Tricolor (Brown, Black, & White)",Baby,Male,Medium,Medium,FALSE,FALSE,TRUE,Clove,Wayne,NJ,7470
46015544,https://www.petfinder.com/dog/anise-46015544/nj/wayne/hounds-in-pounds-inc-ga864/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Mixed Breed,TRUE,Bicolor,Baby,Female,Medium,Short,FALSE,FALSE,TRUE,Anise,Wayne,NJ,7470
46015339,https://www.petfinder.com/dog/poppy-46015339/nj/wayne/hounds-in-pounds-inc-ga864/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Mixed Breed,TRUE,"Tricolor (Brown, Black, & White)",Baby,Female,Small,Medium,FALSE,FALSE,TRUE,Poppy,Wayne,NJ,7470
46014599,https://www.petfinder.com/dog/frannie-46014599/nj/wayne/fowa-nj26/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Chihuahua,TRUE,Black,Adult,Female,Small,Short,TRUE,TRUE,TRUE,Frannie,Wayne,NJ,7470
46004956,https://www.petfinder.com/dog/maggie-46004956/nj/oakland/real-dog-rescue-inc-nj877/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Cocker Spaniel,TRUE,Yellow / Tan / Blond / Fawn,Baby,Female,Small,Short,TRUE,TRUE,TRUE,Maggie,Oakland,NJ,7436
45985885,https://www.petfinder.com/dog/zac-brown-45985885/nj/oakland/real-dog-rescue-inc-nj877/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Retriever,TRUE,Golden,Adult,Male,Medium,Short,TRUE,TRUE,TRUE,Zac Brown,Oakland,NJ,7436
45985813,https://www.petfinder.com/dog/chi-45985813/nj/pompton-lakes/ruff-rehab-inc-nj755/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Chihuahua,TRUE,"Tricolor (Brown, Black, & White)",Adult,Male,Small,Long,FALSE,FALSE,TRUE,Chi,Pompton Lakes,NJ,7442
45985805,https://www.petfinder.com/dog/oscar-45985805/nj/pompton-lakes/ruff-rehab-inc-nj755/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Chihuahua,TRUE,Apricot / Beige,Baby,Male,Medium,Short,FALSE,FALSE,TRUE,Oscar,Pompton Lakes,NJ,7442
45985797,https://www.petfinder.com/dog/punky-brewster-45985797/nj/pompton-lakes/ruff-rehab-inc-nj755/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Golden Retriever,TRUE,Apricot / Beige,Baby,Female,Medium,Medium,FALSE,FALSE,TRUE,Punky Brewster,Pompton Lakes,NJ,7442
45985788,https://www.petfinder.com/dog/bon-marie-45985788/nj/pompton-lakes/ruff-rehab-inc-nj755/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,German Shepherd Dog,TRUE,Bicolor,Baby,Female,Small,Short,FALSE,FALSE,TRUE,Bon Marie,Pompton Lakes,NJ,7442
45985772,https://www.petfinder.com/dog/great-pyrenees-girl-45985772/nj/pompton-lakes/ruff-rehab-inc-nj755/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Great Pyrenees,TRUE,White / Cream,Baby,Female,Extra Large,Long,FALSE,FALSE,TRUE,Great Pyrenees Girl,Pompton Lakes,NJ,7442
45982949,https://www.petfinder.com/dog/dutchess-45982949/nj/park-ridge/halfway-hounds-nj613/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,American Staffordshire Terrier,TRUE,Apricot / Beige,Young,Female,Medium,Short,TRUE,TRUE,TRUE,Dutchess,Park Ridge,NJ,7656
45982574,https://www.petfinder.com/dog/zibo-45982574/nj/wanaque/all-humane-animal-rescue-nj563/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Great Pyrenees,TRUE,"Tricolor (Brown, Black, & White)",Baby,Male,Large,Medium,FALSE,FALSE,TRUE,Zibo,Wanaque,NJ,7465
45982545,https://www.petfinder.com/dog/konya-45982545/nj/wanaque/all-humane-animal-rescue-nj563/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Great Pyrenees,TRUE,Red / Chestnut / Orange,Baby,Female,Large,Medium,FALSE,FALSE,TRUE,konya,Wanaque,NJ,7465
45979951,https://www.petfinder.com/dog/suri-45979951/nj/haskell/bright-starz-neu-life-animal-rescue-inc-nj881/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Hound,TRUE,Red / Chestnut / Orange,Baby,Female,Medium,Short,TRUE,TRUE,TRUE,Suri,Haskell,NJ,7420
45978947,https://www.petfinder.com/dog/crowley-45978947/nj/belleville/friends-with-four-paws-ok15/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Pit Bull Terrier,TRUE,Gray / Blue / Silver,Baby,Male,Medium,Short,TRUE,TRUE,TRUE,Crowley,Belleville,NJ,7109
45978908,https://www.petfinder.com/dog/spike-on-hold-for-segarra-family-45978908/nj/riverdale/p-u-r-r-s-dot-n-pups-animal-rescue-team-inc-nj309/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Hound,TRUE,Gray / Blue / Silver,Baby,Male,Medium,Short,FALSE,FALSE,FALSE,Spike - on hold for Segarra Family,Riverdale,NJ,7457
45978893,https://www.petfinder.com/dog/archie-on-hold-for-barone-family-45978893/nj/riverdale/p-u-r-r-s-dot-n-pups-animal-rescue-team-inc-nj309/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Hound,TRUE,Brown / Chocolate,Baby,Male,Medium,Short,FALSE,FALSE,FALSE,Archie - ON HOLD FOR BARONE FAMILY,Riverdale,NJ,7457
45978877,https://www.petfinder.com/dog/stella-45978877/nj/riverdale/p-u-r-r-s-dot-n-pups-animal-rescue-team-inc-nj309/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Labrador Retriever,TRUE,Merle (Blue),Adult,Female,Medium,Short,TRUE,TRUE,TRUE,Stella,Riverdale,NJ,7457
45968117,https://www.petfinder.com/dog/banner-45968117/nj/belleville/friends-with-four-paws-ok15/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Labrador Retriever,TRUE,Brown / Chocolate,Young,Male,Large,Short,TRUE,TRUE,TRUE,Banner,Belleville,NJ,7109
45968110,https://www.petfinder.com/dog/nick-fury-45968110/nj/belleville/friends-with-four-paws-ok15/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Shepherd,TRUE,Black,Young,Male,Large,Short,TRUE,TRUE,TRUE,Nick Fury,Belleville,NJ,7109
45967590,https://www.petfinder.com/dog/babs-p-45967590/nj/belleville/friends-with-four-paws-ok15/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Chihuahua,FALSE,Gray / Blue / Silver,Adult,Female,Small,Short,TRUE,FALSE,TRUE,Babs P,Belleville,NJ,7109
45964167,https://www.petfinder.com/dog/kash-45964167/nj/ringwood/southern-paws-inc-nj817/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,German Shepherd Dog,TRUE,Black,Baby,Male,Large,Medium,TRUE,FALSE,TRUE,Kash,Ringwood,NJ,7456
45964158,https://www.petfinder.com/dog/coco-45964158/nj/ringwood/southern-paws-inc-nj817/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Labrador Retriever,TRUE,Brown / Chocolate,Young,Female,Medium,Short,TRUE,FALSE,TRUE,Coco,Ringwood,NJ,7456
45964140,https://www.petfinder.com/dog/kassie-45964140/nj/ringwood/southern-paws-inc-nj817/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,German Shepherd Dog,TRUE,Black,Baby,Female,Large,Medium,TRUE,FALSE,TRUE,Kassie,Ringwood,NJ,7456
45964112,https://www.petfinder.com/dog/kallie-45964112/nj/ringwood/southern-paws-inc-nj817/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,German Shepherd Dog,TRUE,Black,Baby,Female,Large,Medium,TRUE,FALSE,TRUE,Kallie,Ringwood,NJ,7456
45964099,https://www.petfinder.com/dog/kami-45964099/nj/ringwood/southern-paws-inc-nj817/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,German Shepherd Dog,TRUE,Black,Baby,Female,Large,Medium,TRUE,FALSE,TRUE,Kami,Ringwood,NJ,7456
45964081,https://www.petfinder.com/dog/reece-45964081/nj/ringwood/southern-paws-inc-nj817/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Boxer,TRUE,"Tricolor (Brown, Black, & White)",Baby,Female,Large,Short,TRUE,FALSE,TRUE,Reece,Ringwood,NJ,7456
45964055,https://www.petfinder.com/dog/rylee-45964055/nj/ringwood/southern-paws-inc-nj817/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Australian Shepherd,TRUE,Black,Baby,Female,Large,Short,TRUE,FALSE,TRUE,Rylee,Ringwood,NJ,7456
45964047,https://www.petfinder.com/dog/rubi-45964047/nj/ringwood/southern-paws-inc-nj817/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Australian Shepherd,TRUE,Red / Chestnut / Orange,Baby,Female,Large,Short,TRUE,FALSE,TRUE,Rubi,Ringwood,NJ,7456
45958285,https://www.petfinder.com/dog/benji-star-urgt-star-immed-foster-home-needed-45958285/nj/jersey-city/tails-of-love-animal-rescue-inc-ny939/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,American Staffordshire Terrier,TRUE,Red / Chestnut / Orange,Young,Male,Large,Short,TRUE,TRUE,TRUE,Benji *URGT* IMMED FOSTER HOME NEEDED,Jersey City,NJ,7306
45956484,https://www.petfinder.com/dog/cheerio-45956484/nj/paramus/bonnies-animal-rescue-kingdom-nj627/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Labrador Retriever,TRUE,Black,Baby,Male,Medium,Short,FALSE,FALSE,TRUE,Cheerio,Paramus,NJ,7653
45956454,https://www.petfinder.com/dog/toastie-45956454/nj/paramus/bonnies-animal-rescue-kingdom-nj627/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Labrador Retriever,TRUE,Black,Baby,Female,Medium,Short,FALSE,FALSE,TRUE,Toastie,Paramus,NJ,7653
45956440,https://www.petfinder.com/dog/pancake-45956440/nj/paramus/bonnies-animal-rescue-kingdom-nj627/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Labrador Retriever,TRUE,Black,Baby,Female,Medium,Short,FALSE,FALSE,TRUE,Pancake,Paramus,NJ,7653
45956365,https://www.petfinder.com/dog/waffles-45956365/nj/paramus/bonnies-animal-rescue-kingdom-nj627/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Labrador Retriever,TRUE,Black,Baby,Male,Medium,Short,FALSE,FALSE,TRUE,Waffles,Paramus,NJ,7653
45951254,https://www.petfinder.com/dog/martina-45951254/nj/paramus/bonnies-animal-rescue-kingdom-nj627/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Hound,TRUE,Black,Baby,Female,Large,Short,FALSE,FALSE,TRUE,Martina,Paramus,NJ,7653
45951195,https://www.petfinder.com/dog/loretta-45951195/nj/paramus/bonnies-animal-rescue-kingdom-nj627/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Hound,TRUE,Black,Baby,Female,Large,Short,FALSE,FALSE,TRUE,Loretta,Paramus,NJ,7653
45951107,https://www.petfinder.com/dog/dolly-45951107/nj/paramus/bonnies-animal-rescue-kingdom-nj627/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Hound,TRUE,Black,Baby,Female,Large,Short,FALSE,FALSE,TRUE,Dolly,Paramus,NJ,7653
45951047,https://www.petfinder.com/dog/eddie-45951047/nj/paramus/bonnies-animal-rescue-kingdom-nj627/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Hound,TRUE,Apricot / Beige,Baby,Male,Large,Short,FALSE,FALSE,TRUE,Eddie,Paramus,NJ,7653
45950945,https://www.petfinder.com/dog/david-45950945/nj/paramus/bonnies-animal-rescue-kingdom-nj627/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Hound,TRUE,Bicolor,Baby,Male,Large,Short,FALSE,FALSE,TRUE,David,Paramus,NJ,7653
45950738,https://www.petfinder.com/dog/axle-45950738/nj/paramus/bonnies-animal-rescue-kingdom-nj627/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Hound,TRUE,Bicolor,Baby,Male,Large,Short,FALSE,FALSE,TRUE,Axle,Paramus,NJ,7653
45946569,https://www.petfinder.com/dog/betty-45946569/nj/palisades-park/animal-life-savers-inc-nj387/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Shar-Pei,TRUE,Bicolor,Baby,Female,Small,Short,TRUE,TRUE,TRUE,Betty,Palisades Park,NJ,7650
45946549,https://www.petfinder.com/dog/dexter-45946549/nj/palisades-park/animal-life-savers-inc-nj387/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Shar-Pei,TRUE,Bicolor,Baby,Male,Medium,Short,TRUE,TRUE,TRUE,Dexter,Palisades Park,NJ,7650
45944286,https://www.petfinder.com/dog/alice-45944286/nj/ringwood/southern-paws-inc-nj817/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Dachshund,TRUE,Brown / Chocolate,Baby,Female,Small,Medium,TRUE,FALSE,TRUE,Alice,Ringwood,NJ,7456
45944106,https://www.petfinder.com/dog/allyson-45944106/nj/ringwood/southern-paws-inc-nj817/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Dachshund,TRUE,Black,Baby,Female,Small,Medium,TRUE,FALSE,TRUE,Allyson,Ringwood,NJ,7456
45944093,https://www.petfinder.com/dog/ashton-45944093/nj/ringwood/southern-paws-inc-nj817/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Dachshund,TRUE,Black,Baby,Male,Small,Medium,TRUE,FALSE,TRUE,Ashton,Ringwood,NJ,7456
45944055,https://www.petfinder.com/dog/stevie-45944055/nj/ringwood/southern-paws-inc-nj817/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Chihuahua,TRUE,Black,Baby,Male,Small,Short,TRUE,FALSE,TRUE,Stevie,Ringwood,NJ,7456
45944047,https://www.petfinder.com/dog/sally-45944047/nj/ringwood/southern-paws-inc-nj817/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Chihuahua,TRUE,"Tricolor (Brown, Black, & White)",Baby,Female,Small,Short,TRUE,FALSE,TRUE,Sally,Ringwood,NJ,7456
45944031,https://www.petfinder.com/dog/susie-45944031/nj/ringwood/southern-paws-inc-nj817/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Chihuahua,TRUE,Brown / Chocolate,Baby,Female,Small,Short,TRUE,FALSE,TRUE,Susie,Ringwood,NJ,7456
45944021,https://www.petfinder.com/dog/sara-45944021/nj/ringwood/southern-paws-inc-nj817/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Chihuahua,TRUE,Brindle,Baby,Female,Small,Short,TRUE,FALSE,TRUE,Sara,Ringwood,NJ,7456
45944009,https://www.petfinder.com/dog/tabitha-45944009/nj/ringwood/southern-paws-inc-nj817/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Mastiff,TRUE,Black,Baby,Female,Large,Short,TRUE,FALSE,TRUE,Tabitha,Ringwood,NJ,7456
45943936,https://www.petfinder.com/dog/tony-45943936/nj/ringwood/southern-paws-inc-nj817/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Mastiff,TRUE,Black,Baby,Male,Large,Short,TRUE,FALSE,TRUE,Tony,Ringwood,NJ,7456
45943288,https://www.petfinder.com/dog/ripley-45943288/nj/ringwood/southern-paws-inc-nj817/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Boxer,TRUE,Black,Baby,Male,Large,Short,TRUE,FALSE,TRUE,Ripley,Ringwood,NJ,7456
45943239,https://www.petfinder.com/dog/reggie-45943239/nj/ringwood/southern-paws-inc-nj817/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Australian Shepherd,TRUE,Yellow / Tan / Blond / Fawn,Baby,Male,Medium,Medium,TRUE,FALSE,TRUE,Reggie,Ringwood,NJ,7456
45943209,https://www.petfinder.com/dog/booker-45943209/nj/ringwood/southern-paws-inc-nj817/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,German Shepherd Dog,TRUE,Black,Baby,Male,Large,Short,TRUE,FALSE,TRUE,Booker,Ringwood,NJ,7456
45943187,https://www.petfinder.com/dog/ava-45943187/nj/ringwood/southern-paws-inc-nj817/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,German Shepherd Dog,TRUE,Yellow / Tan / Blond / Fawn,Young,Female,Medium,Short,TRUE,FALSE,TRUE,Ava,Ringwood,NJ,7456
45942942,https://www.petfinder.com/dog/gracie-45942942/nj/ringwood/southern-paws-inc-nj817/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Golden Retriever,TRUE,Black,Baby,Female,Large,Medium,TRUE,FALSE,TRUE,Gracie,Ringwood,NJ,7456
45940588,https://www.petfinder.com/dog/lovely-lilly-friendly-and-healthy-45940588/nj/clifton/friends-of-the-clifton-animal-shelter-nj37/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Shepherd,TRUE,Black,Adult,Female,Medium,Medium,TRUE,FALSE,TRUE,LOVELY LILLY! FRIENDLY & HEALTHY,Clifton,NJ,7015
45940041,https://www.petfinder.com/dog/charlie-45940041/nj/jersey-city/legacy-german-shepherd-rescue-ms67/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Black Labrador Retriever,TRUE,Black,Baby,Male,Large,Medium,TRUE,FALSE,TRUE,Charlie,Jersey City,NJ,7307
45940021,https://www.petfinder.com/dog/bree-45940021/nj/jersey-city/legacy-german-shepherd-rescue-ms67/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Black Labrador Retriever,TRUE,Black,Baby,Female,Medium,Short,TRUE,FALSE,TRUE,Bree,Jersey City,NJ,7307
45934974,https://www.petfinder.com/dog/dirk-45934974/nj/ringwood/bloomingdale-regional-animal-shelter-society-nj28/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Beagle,TRUE,White / Cream,Baby,Male,Medium,Short,TRUE,TRUE,TRUE,Dirk,Ringwood,NJ,7456
45934878,https://www.petfinder.com/dog/blake-45934878/nj/ringwood/bloomingdale-regional-animal-shelter-society-nj28/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Beagle,TRUE,Black,Baby,Male,Medium,Short,TRUE,TRUE,TRUE,Blake,Ringwood,NJ,7456
45934848,https://www.petfinder.com/dog/linus-45934848/nj/ringwood/bloomingdale-regional-animal-shelter-society-nj28/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Yellow Labrador Retriever,TRUE,Yellow / Tan / Blond / Fawn,Young,Male,Medium,Short,TRUE,TRUE,TRUE,Linus,Ringwood,NJ,7456
45934828,https://www.petfinder.com/dog/lucas-45934828/nj/ringwood/bloomingdale-regional-animal-shelter-society-nj28/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Yellow Labrador Retriever,TRUE,Yellow / Tan / Blond / Fawn,Young,Male,Medium,Short,TRUE,TRUE,TRUE,Lucas,Ringwood,NJ,7456
45934772,https://www.petfinder.com/dog/bongo-45934772/nj/ringwood/bloomingdale-regional-animal-shelter-society-nj28/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Pomeranian,TRUE,Black,Adult,Male,Medium,Long,TRUE,TRUE,TRUE,Bongo,Ringwood,NJ,7456
45934710,https://www.petfinder.com/dog/olive-45934710/nj/ringwood/bloomingdale-regional-animal-shelter-society-nj28/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Yellow Labrador Retriever,TRUE,Yellow / Tan / Blond / Fawn,Young,Female,Medium,Short,TRUE,TRUE,TRUE,Olive,Ringwood,NJ,7456
45934311,https://www.petfinder.com/dog/luna-45934311/nj/bloomfield/forgotten-tails-inc-nj901/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Belgian Shepherd / Malinois,TRUE,Black,Baby,Female,Large,Short,FALSE,FALSE,FALSE,Luna,Bloomfield,NJ,7003
45930368,https://www.petfinder.com/dog/latte-45930368/nj/ringwood/southern-paws-inc-nj817/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Dachshund,TRUE,Brown / Chocolate,Young,Female,Small,Medium,TRUE,FALSE,TRUE,Latte,Ringwood,NJ,7456
